 -2.49,-2.49
 -2.31,-2.49
 -2.13,-2.49
 -1.95,-2.49
 -1.77,-2.49
 -1.59,-2.49
 -1.41,-2.49
 -1.23,-2.49
 -1.05,-2.49
 -0.87,-2.49
 -0.69,-2.49
 -0.51,-2.49
 -0.33,-2.49
 -0.15,-2.49
 0.03,-2.49
 0.21,-2.49
 0.39,-2.49
 0.57,-2.49
 0.75,-2.49
 0.93,-2.49
 1.11,-2.49
 1.29,-2.49
 1.47,-2.49
 1.65,-2.49
 1.83,-2.49
 2.01,-2.49
 2.01,-2.31
 2.01,-2.13
 2.01,-1.95
 2.01,-1.77
 2.01,-1.59
 2.01,-1.41
 2.01,-1.23
 2.01,-1.05
 2.01,-0.87
 2.01,-0.69
 2.01,-0.51
 2.01,-0.33
 2.01,-0.15
 2.01,0.03
 2.01,0.21
 2.01,0.39
 2.01,0.57
 2.01,0.75
 2.01,0.93
 2.01,1.11
 2.01,1.29
 2.01,1.47
 2.01,1.65
 2.01,1.83
 2.01,2.01
 1.83,2.01
 1.65,2.01
 1.47,2.01
 1.29,2.01
 1.11,2.01
 0.93,2.01
 0.75,2.01
 0.57,2.01
 0.39,2.01
 0.21,2.01
 0.03,2.01
 -0.15,2.01
 -0.33,2.01
 -0.51,2.01
 -0.69,2.01
 -0.87,2.01
 -1.05,2.01
 -1.23,2.01
 -1.41,2.01
 -1.59,2.01
 -1.77,2.01
 -1.95,2.01
 -2.13,2.01
 -2.31,2.01
 -2.49,2.01
 -2.49,1.83
 -2.49,1.65
 -2.49,1.47
 -2.49,1.29
 -2.49,1.11
 -2.49,0.93
 -2.49,0.75
 -2.49,0.57
 -2.49,0.39
 -2.49,0.21
 -2.49,0.03
 -2.49,-0.15
 -2.49,-0.33
 -2.49,-0.51
 -2.49,-0.69
 -2.49,-0.87
 -2.49,-1.05
 -2.49,-1.23
 -2.49,-1.41
 -2.49,-1.59
 -2.49,-1.77
 -2.49,-1.95
 -2.49,-2.13
 -2.49,-2.31
